Filename,sigR,sigG,sigB
Image1_dwt_q10.png,153.084475824624,116.045623070966,189.803214693936
Image1_dwt_q50.png,83.6911147643524,77.6132040359999,49.6699689466759
Image1_dwt_q70.png,83.6044249619563,77.3984205353677,50.6266435096237
Image2_dwt_q70.png,23.3945857578762,21.8601398914897,25.8874887457284
Image2_dwt_q50.png,26.110105922589,26.5297354028569,30.187065023203
Image2_dwt_q10.png,128.65615626724,97.8605131970415,160.193558332132
barvicky_dwt_q10.png,147.241330021841,114.53023455818,164.743046365466
barvicky_dwt_q50.png,70.5870572404821,75.1133249748706,81.8970965448895
barvicky_dwt_q70.png,68.763195700697,74.4938842958181,80.300809365464
dkm_dwt_q70.png,28.6572971706223,27.7053555723194,30.4275527177642
dkm_dwt_q50.png,31.0280072326927,31.5644968857046,34.3960618815835
dkm_dwt_q10.png,129.161135345559,99.5867527189893,161.175945318258
gradient_dwt_q10.png,125.904211462827,98.4208512255198,158.293285197143
gradient_dwt_q50.png,21.3845042071484,16.0959803233153,26.692701826275
gradient_dwt_q70.png,13.8412438250729,10.8274600210975,17.2998976650881
prazdny_dwt_q70.png,13.3923637415781,11.3734543335836,16.8345269043263
prazdny_dwt_q50.png,17.6954686643219,19.0818929908041,23.040485572208
prazdny_dwt_q10.png,126.762384127745,96.06369755843,159.295711576691
rovne_dwt_q10.png,133.541966750541,102.99606186734,164.414516948946
rovne_dwt_q50.png,43.2675155248526,43.855133374992,44.9052745322019
rovne_dwt_q70.png,41.7786818890384,41.3991979427426,41.8226880185682
text_dwt_q70.png,19.9677635608151,18.6205839962211,22.4289098437168
text_dwt_q50.png,23.3132751194866,23.9483289265497,27.6477283616109
text_dwt_q10.png,127.296212623376,97.6758883793846,159.637641963658
text2_dwt_q10.png,131.539950760067,101.958693097826,163.153949573752
text2_dwt_q50.png,38.8960988096161,39.2354503698231,41.6451769920541
text2_dwt_q70.png,36.9375673596907,36.2643664226605,38.3186830061037
